chrom	start	end	strand	count
chr5	149367410	149367452	+	1
chr5	151183529	151183566	-	2
chr6	29942772	29942869	+	3
chr6	41770687	41770841	-	3
chr7	94424390	94424427	+	1
chr9	128178796	128178851	-	5
chr1	3787097	3787142	-	1
chr1	182887291	182887421	+	1
chr10	21733878	21734012	+	2
chr10	102159249	102159288	+	1
chr11	62522998	62529881	-	3
chr11	62526424	62526497	-	3
chr11	116846407	116846506	-	1
chr12	1593875	1593977	-	5
chr13	48258844	48258866	+	1
chr14	91303777	91303841	-	1
chr14	104943414	104943694	-	1
chr15	34794748	34794779	-	1
chr15	75676665	75676690	-	1
chr15	99130040	99130071	+	1
chr16	262153	262199	+	1
chr16	15715021	15715044	-	1
chr16	69118989	69119032	-	1
chr17	16381988	16382097	+	2
chr17	41505327	41505364	-	1
chr17	41505327	41505376	-	2
chr17	41516121	41516155	-	2
chr17	82087766	82087828	-	1
chr19	4494222	4494310	+	1
chr19	4511906	4513491	-	1
chr19	39408283	39408323	+	1
chr19	43626856	43626893	-	1
chr19	45067420	45067514	+	1
chr19	50007701	50007765	-	4
chr19	55678647	55678685	+	1
chr2	20203853	20203890	-	1
chr2	130372336	130372399	+	1
chr2	217848032	217848106	-	2
chr20	45480012	45480067	+	3
chr22	29489371	29489888	+	1
chr3	186554368	186554618	-	3
chr3	195781177	195786650	-	1
chr3	195781417	195781562	-	1
chr3	195781465	195782810	-	1
chr3	195781513	195783194	-	1
chr3	195781513	195782234	-	1
chr3	195783913	195784346	-	1
chr3	195787465	195787658	-	2
chr4	82373506	82373589	-	2
chr6	7583383	7583413	+	1
chr6	30724292	30724359	+	1
chr6	32189741	32189856	-	1
chr6	44255061	44255176	-	5
chr6	85615144	85615280	-	1
chr7	2433710	2433771	+	1
chr7	45082259	45082899	-	4
chr9	35717359	35717390	-	1
chr9	116425971	116426055	-	2
chrX	53082751	53082820	+	1
chrX	69161943	69162021	-	3
chrX	143628722	143628792	-	1
chrX	154366147	154366171	-	1
chr1	36099308	36099342	-	1
chr1	100877647	100877734	-	8
chr1	107057361	107057595	+	1
chr1	145961305	145961714	-	1
chr1	150552952	150553164	+	1
chr1	156671902	156671927	-	1
chr1	180916361	180916513	+	4
chr1	201209622	201209839	+	2
chr1	201209730	201209947	+	1
chr1	201210288	201210493	+	1
chr1	201211368	201211585	+	1
chr1	201211368	201211477	+	1
chr1	229636800	229638182	+	1
chr10	32015542	32015591	-	1
chr10	49322629	49323001	+	1
chr11	205314	205402	-	1
chr11	35663368	35663394	+	1
chr11	62520321	62522482	-	1
chr11	62521050	62521615	-	1
chr11	62525637	62525800	-	4
chr11	62527974	62528560	-	3
chr11	62528740	62528942	-	1
chr11	62531125	62531669	-	1
chr11	64765411	64765458	-	1
chr11	65654818	65654867	-	1
chr11	83168899	83168966	+	2
chr12	124911844	124912985	-	3
chr12	124912278	124912409	-	5
chr14	23419198	23419220	-	1
chr14	104948802	104950783	-	2
chr14	104949436	104951417	-	1
chr14	104950797	104951788	-	2
chr14	104951965	104952461	-	1
chr14	104952060	104952556	-	1
chr14	104952201	104953171	-	1
chr15	43525754	43525797	+	2
chr15	99131207	99131232	+	1
chr15	99131482	99131558	+	1
chr16	15714967	15715031	-	3
chr16	15837994	15838067	-	2
chr16	29847241	29847299	+	1
chr16	31466592	31466695	+	1
chr16	88818057	88818100	-	1
chr17	7462552	7462610	-	2
chr17	7502600	7502638	+	1
chr17	35844545	35844705	+	1
chr17	42405079	42405125	-	1
chr17	42851403	42851739	+	5
chr17	47531400	47531544	+	1
chr18	3188883	3188938	-	2
chr19	4513010	4513065	-	1
chr19	6418728	6418780	-	2
chr19	13956407	13956462	+	1
chr19	35633976	35634003	+	1
chr19	49154270	49154415	-	1
chr19	52016210	52016295	-	2
chr2	27342049	27342152	-	3
chr2	74679741	74679952	+	1
chr2	85327386	85327513	-	1
chr2	108765378	108765437	+	1
chr2	127505125	127505204	-	3
chr2	210153594	210153736	-	4
chr2	219418789	219418838	+	3
chr2	230878419	230878443	+	1
chr2	237381413	237381477	-	2
chr20	4248596	4248685	-	1
chr20	17658860	17659005	-	2
chr20	17659073	17659614	-	5
chr20	36548075	36548148	+	8
chr20	44115721	44115767	-	1
chr20	44116146	44116182	-	1
chr20	46013383	46013408	+	1
chr22	20426184	20426233	-	1
chr22	29489185	29489288	+	3
chr22	29489748	29489792	+	2
chr22	36296856	36296911	-	1
chr22	40419147	40419223	-	1
chr22	49823837	49823859	-	1
chr3	51993844	51994040	-	2
chr3	96987383	96987830	+	2
chr4	877631	877743	-	1
chr4	105968917	105968968	+	1
chr4	186603320	186603422	-	2
chr5	205537	205702	-	1
chr5	43174716	43174783	+	1
chr5	140632241	140632267	-	1
chr5	146233611	146233648	+	4
chr5	146459057	146459124	+	1
chr6	2953079	2953138	-	1
chr6	30705481	30705728	-	1
chr6	31629707	31629800	+	1
chr6	139373517	139373736	-	6
chr6	159748293	159748315	+	2
chr6	170318475	170318620	+	5
chr7	5370777	5370826	-	1
chr7	45083973	45084095	-	1
chr8	143924438	143924553	-	1
chr9	128179084	128179199	-	2
chrX	17800831	17800853	-	1
chrX	154360147	154360433	-	1
chr1	107056755	107056806	+	1
chr1	156786856	156786938	+	1
chr10	119042215	119042251	-	1
chr11	83168965	83169005	+	1
chr12	124913190	124913532	-	1
chr15	71242692	71242784	+	1
chr17	45149248	45149294	+	1
chr17	63830339	63830421	+	1
chr17	64499936	64499995	-	1
chr19	4499529	4499638	+	2
chr19	17245034	17245161	-	1
chr19	40396305	40396492	-	1
chr19	46411748	46411917	-	1
chr19	50007652	50007765	-	3
chr19	52613508	52613593	-	1
chr2	15167155	15167213	-	1
chr2	231461809	231461897	-	3
chr22	29299664	29299689	+	2
chr22	29489761	29489784	+	1
chr22	29490244	29490368	+	3
chr22	29490313	29490452	+	1
chr3	122727853	122727890	+	1
chr6	33305075	33305223	-	4
chr7	43876970	43877049	-	2
chr7	134933752	134933879	+	3
chr7	150330722	150331103	+	3
chr8	26770323	26770428	-	1
chr9	127912338	127912432	-	3
chrX	154031069	154031204	-	2
chr1	1665794	1665888	-	1
chr1	16393320	16393366	+	1
chr1	41028199	41028305	-	6
chr1	108699383	108699455	+	1
chr1	151612256	151612314	+	1
chr1	151814978	151815063	-	1
chr1	153643295	153643326	+	1
chr1	161958498	161958539	+	1
chr1	201386565	201386746	-	2
chr1	228216590	228216646	+	1
chr11	49154255	49154382	-	4
chr11	62525031	62525113	-	1
chr11	70435521	70435556	+	1
chr11	72015921	72016063	-	1
chr12	53382218	53383530	+	1
chr12	54283826	54283908	+	1
chr12	57607445	57607556	+	2
chr12	116237581	116237677	-	1
chr12	124911875	124911900	-	2
chr12	124912300	124912392	-	1
chr12	124912583	124912735	-	1
chr14	91461445	91461473	-	1
chr14	92651727	92652032	+	1
chr15	71780598	71780652	+	1
chr15	71893029	71893111	-	2
chr16	55821451	55821476	-	1
chr16	69119731	69119783	-	1
chr17	1650816	1650889	-	1
chr17	5022518	5022617	+	1
chr17	40095644	40095731	-	4
chr17	41505411	41505511	-	3
chr17	42028866	42029014	-	1
chr17	58302370	58302408	-	1
chr17	76736953	76737069	-	1
chr19	11722835	11722954	-	3
chr19	42248590	42248623	-	1
chr19	43847376	43847629	+	1
chr19	51993517	51993602	-	1
chr19	52766588	52766757	-	1
chr2	219489387	219489753	+	1
chr20	17659274	17659365	-	5
chr20	17659364	17659605	-	4
chr20	50191819	50191907	+	1
chr20	53577011	53577155	-	1
chr22	29489431	29489492	+	1
chr22	29490379	29490452	+	1
chr3	33866447	33866472	+	2
chr3	46996392	46996479	+	2
chr3	47916413	47916888	-	3
chr3	49011715	49011778	+	1
chr3	49126057	49126114	-	1
chr3	195778969	195780314	-	1
chr3	195779017	195779258	-	1
chr3	195779161	195781370	-	1
chr3	195779593	195780170	-	1
chr3	195780553	195780698	-	3
chr3	195781657	195782234	-	1
chr3	195781945	195782666	-	1
chr3	195782905	195783146	-	2
chr3	195783241	195783290	-	1
chr3	195784297	195784394	-	1
chr3	195784345	195784538	-	1
chr3	195784633	195784922	-	1
chr3	195784777	195784826	-	1
chr3	195785017	195786554	-	1
chr3	195785209	195785402	-	1
chr3	195785209	195788570	-	2
chr3	195785929	195786698	-	1
chr3	195786889	195787418	-	3
chr3	195786937	195787514	-	4
chr3	195787177	195787514	-	1
chr4	70688882	70688909	+	1
chr5	66053781	66053861	+	1
chr5	138467539	138467624	+	1
chr6	30925648	30925678	+	1
chr6	32167544	32167626	+	1
chr6	33442973	33443094	+	5
chr7	152163177	152163700	-	1
chr8	118110329	118110488	-	3
chr9	135487695	135487804	+	1
chrX	101491202	101491323	+	2
chrX	154352249	154352290	-	3
chrX	154359107	154359141	-	4
chr1	8014146	8014266	-	1
chr11	4682285	4682351	-	1
chr11	72013332	72013480	-	1
chr11	72015492	72015583	-	1
chr11	72015921	72016173	-	1
chr12	6944489	6944517	+	2
chr13	28712856	28712980	-	1
chr15	66499454	66499539	-	3
chr16	28342757	28342800	-	1
chr17	42422717	42422861	-	1
chr19	45771821	45771890	-	1
chr2	113185942	113186004	+	1
chr20	17659004	17659695	-	1
chr3	51971580	51971602	-	1
chr3	74301689	74301777	-	2
chr6	30602244	30602293	-	1
chr6	30602292	30602335	-	2
chr6	33295546	33295640	-	1
chr6	43175799	43175905	+	1
chr7	680608	680661	-	1
chr1	6468302	6468336	-	1
chr1	161525438	161525622	+	1
chr10	73516533	73517437	-	3
chr11	57308876	57308944	-	2
chr11	62521215	62521600	-	3
chr11	62527792	62528195	-	1
chr12	49185018	49185064	-	1
chr14	103519902	103519963	-	1
chr16	31490359	31490407	+	1
chr16	70262398	70262453	-	1
chr17	8042388	8042419	+	1
chr17	35844749	35844795	+	3
chr19	7520437	7520474	+	5
chr19	35633117	35633139	+	1
chr19	42080655	42080750	+	1
chr19	44156354	44156521	+	1
chr19	50858095	50858205	+	1
chr2	33584897	33584919	-	1
chr2	74461710	74461934	-	1
chr2	85327202	85327413	-	1
chr20	17659394	17659575	-	2
chr3	49163212	49163294	-	1
chr3	124773784	124773828	-	1
chr5	17275459	17275637	+	1
chr6	31817463	31817548	+	1
chr6	31828124	31828230	+	6
chr6	121447274	121447550	+	1
chr6	158769828	158769880	-	1
chr6	170318228	170318313	+	1
chr7	44114048	44114097	+	1
chr1	11658747	11658828	+	1
chr1	24654974	24655014	+	1
chr11	66241466	66241569	+	3
chr12	103931577	103931600	+	1
chr12	124912094	124912301	-	1
chr12	124912322	124912392	-	1
chr16	1964477	1964544	-	2
chr16	28866874	28867002	+	1
chr17	413623	413654	+	3
chr17	5022518	5022555	+	1
chr17	35844749	35844837	+	1
chr17	35844839	35844861	+	8
chr17	77402243	77402280	+	1
chr18	10487783	10487819	+	1
chr19	12954393	12954436	-	1
chr19	38724205	38724271	+	1
chr19	45786292	45786341	-	1
chr19	49599431	49599468	+	1
chr2	208353999	208354086	+	3
chr22	29489371	29489408	+	1
chr22	29489964	29490065	+	1
chr3	40462115	40462173	+	2
chr3	151294289	151295108	-	1
chr3	195779401	195779450	-	4
chr3	195779929	195780026	-	1
chr3	195780073	195780410	-	1
chr3	195781225	195784058	-	2
chr3	195785881	195786122	-	3
chr4	153788394	153788476	-	1
chr5	93587958	93588186	+	3
chr6	31817310	31817347	+	1
chr6	41598836	41598897	+	1
chr6	70216935	70217040	-	1
chr8	144464234	144464417	-	1
chrX	154349410	154349435	-	3
chr1	35562457	35562542	+	1
chr10	22329351	22329434	+	1
chr11	727374	727444	+	1
chr11	72016164	72016198	-	1
chr11	74033615	74034136	-	1
chr12	56042481	56042578	+	1
chr14	21523193	21523354	-	1
chr14	23357389	23357559	-	1
chr14	39348830	39348858	+	1
chr16	2763883	2763971	+	1
chr17	2373353	2373452	+	1
chr17	29572192	29572311	+	1
chr17	76009448	76009515	-	1
chr19	7870183	7870277	-	1
chr19	7870276	7870463	-	2
chr19	44992998	44993031	+	1
chr19	50860002	50860104	+	1
chr2	95149836	95150197	-	1
chr20	17659043	17659614	-	2
chr20	35176744	35176797	+	1
chr22	29489287	29489552	+	1
chr22	50625597	50625633	-	1
chr3	9933180	9933297	+	1
chr3	51993826	51993851	-	1
chr3	53864798	53864879	+	2
chr4	2238788	2238936	-	2
chr5	82277729	82277795	-	1
chr5	137753162	137753193	-	1
chr6	31829273	31829601	+	1
chr6	99401296	99401436	-	1
chr7	107940062	107940101	-	1
chr8	18067104	18067134	-	1
chr8	143580559	143580585	-	1
chr9	127444214	127444331	+	1
chrX	103377570	103377679	+	1
chr1	35113181	35113297	+	7
chr1	90938991	90939094	-	2
chr1	244855455	244855489	-	1
chr10	29551009	29551104	-	1
chr10	73398228	73398265	-	1
chr10	104315826	104315878	-	1
chr11	6632273	6632875	-	1
chr11	12008450	12008568	-	1
chr11	62520606	62520769	-	1
chr11	62524458	62525065	-	1
chr11	62566903	62566941	-	1
chr11	72014049	72014077	-	2
chr12	6936645	6936675	+	1
chr12	57091600	57091760	+	1
chr13	113077110	113077141	+	1
chr15	65133010	65133191	-	1
chr16	29381593	29381678	-	2
chr16	30525780	30525844	-	1
chr16	67542323	67542435	+	1
chr17	29576344	29576370	-	1
chr17	35844905	35845011	+	1
chr19	12745469	12745500	+	1
chr19	40075350	40075709	-	1
chr19	52115579	52115664	-	1
chr19	52799918	52800759	-	1
chr2	89142697	89142780	-	1
chr2	96860828	96860925	-	1
chr20	1304959	1304981	+	1
chr20	4699323	4699357	+	1
chr20	32310900	32311087	+	1
chr22	26464443	26464591	-	3
chr22	29489185	29489228	+	1
chr22	29489845	29489906	+	2
chr3	192799134	192799226	-	1
chr4	56930823	56931103	+	3
chr7	44965729	44965754	-	1
chr8	54147544	54147643	+	4
chr8	144139441	144139475	+	1
chr9	128178988	128179085	-	1
chrX	14020297	14020389	-	2
chrX	53086073	53086128	+	1
chr1	156670347	156670456	-	1
chr10	3136519	3136545	+	2
chr11	4600345	4600645	-	1
chr11	62648656	62648898	-	2
chr11	65583063	65583086	+	1
chr11	67438735	67438878	-	1
chr12	49127984	49128012	-	1
chr12	49185036	49185064	-	1
chr12	124912256	124912409	-	1
chr14	105742064	105742098	-	1
chr16	22536166	22536202	+	1
chr16	30223089	30223132	-	2
chr16	74391843	74391886	+	1
chr17	16382358	16382489	+	1
chr17	78972196	78972224	-	2
chr17	78997490	78997524	-	1
chr19	868366	868394	-	2
chr19	7870147	7870799	-	1
chr19	34399287	34399320	+	1
chr19	49653092	49653117	+	1
chr2	27378082	27378330	-	2
chr2	238329130	238329152	+	1
chr20	3122094	3122288	-	1
chr20	17658983	17659614	-	1
chr20	17659574	17659665	-	1
chr20	34740972	34741558	-	2
chr20	49117850	49117936	-	1
chr22	29489329	29489390	+	1
chr7	134933794	134933817	+	1
chrY	19707263	19707362	-	1
chr1	153991585	153991611	+	1
chr1	165890282	165890324	+	1
chr11	1030671	1030700	-	1
chr11	62910300	62910332	-	2
chr11	66340790	66340812	-	1
chr12	52519881	52519924	-	1
chr12	55748662	55748849	+	2
chr12	111347873	111347960	+	3
chr12	124913418	124913549	-	1
chr12	124913495	124913724	-	1
chr14	21211453	21211488	-	1
chr14	37591872	37591952	-	1
chr15	45117656	45117708	-	1
chr17	5033866	5034234	-	1
chr19	35267599	35267627	+	1
chr19	45766424	45766640	-	1
chr19	47755436	47755486	+	1
chr19	52765959	52765989	-	1
chr19	54191864	54191940	+	1
chr19	58516988	58517016	-	1
chr2	27384714	27384790	-	1
chr20	3203319	3203375	-	1
chr3	49163095	49163285	-	1
chr3	51993850	51994040	-	3
chr3	112991104	112991134	+	1
chr3	195779641	195780266	-	1
chr3	195780265	195780362	-	1
chr3	195781513	195781610	-	1
chr3	195785929	195786410	-	1
chr3	195788521	195788570	-	3
chr5	141192587	141192898	+	1
chr5	180849256	180850582	-	1
chr6	26055825	26056072	-	1
chr6	31829504	31829541	+	1
chr6	41771195	41771276	-	1
chr7	40134391	40134413	-	1
chr8	47279918	47279981	+	1
chr1	27364802	27364896	-	3
chr1	39428182	39428210	+	1
chr1	207022466	207022599	-	2
chr1	207023224	207023308	-	1
chr10	86943668	86943701	-	1
chr10	88943838	88943861	-	1
chr10	122084024	122084076	+	1
chr11	62521462	62521607	-	1
chr11	62521614	62521999	-	1
chr11	62522899	62523062	-	2
chr11	62522998	62523332	-	1
chr11	65583230	65583253	+	1
chr11	75587582	75587682	-	1
chr11	75588011	75588037	-	1
chr12	67657569	67657622	+	1
chr12	108623587	108623618	-	1
chr12	132777685	132777716	-	1
chr13	44573206	44573878	-	1
chr14	75980689	75980864	-	1
chr14	77343235	77343371	-	1
chr14	91204752	91204804	+	1
chr14	104942655	104943646	-	1
chr14	104943459	104947915	-	1
chr14	104943786	104953171	-	1
chr15	57438015	57438266	+	2
chr16	2762276	2762370	+	1
chr16	31190316	31190347	+	1
chr17	4539584	4539622	-	1
chr17	7894196	7894239	+	1
chr17	44189077	44189162	+	1
chr17	81245823	81245872	-	1
chr19	1271431	1271554	+	1
chr19	5789276	5789315	-	2
chr19	7519884	7519969	+	1
chr19	7870183	7870370	-	1
chr19	35755548	35755570	-	2
chr19	39474321	39474349	+	1
chr19	40396422	40396531	-	3
chr19	43607801	43607932	-	1
chr19	46411628	46411773	-	1
chr19	52613928	52614097	-	1
chr19	53140895	53141148	-	1
chr19	57620892	57620977	+	1
chr2	20290699	20290772	-	1
chr2	61188316	61188419	-	3
chr2	85327302	85327387	-	1
chr20	17600836	17600889	+	2
chr20	45222619	45222800	+	2
chr21	32350796	32350851	-	1
chr22	29480365	29480468	+	2
chr22	29489316	29489372	+	3
chr22	29489905	29490035	+	2
chr22	29490523	29490671	+	2
chr3	52487389	52487650	+	3
chr3	128622232	128622362	-	1
chr3	195779017	195779402	-	2
chr3	195779161	195779978	-	1
chr3	195779545	195779690	-	1
chr3	195779689	195780314	-	3
chr3	195779833	195781466	-	2
chr3	195780313	195782234	-	1
chr3	195780361	195788282	-	1
chr3	195781513	195784490	-	1
chr3	195782425	195782474	-	2
chr3	195783289	195783338	-	2
chr3	195784201	195784634	-	1
chr3	195784777	195785258	-	1
chr3	195784873	195784922	-	1
chr3	195785881	195785930	-	3
chr3	195786073	195786122	-	5
chr3	195786169	195788186	-	1
chr3	195787369	195787610	-	1
chr4	1024399	1024583	+	1
chr4	99946472	99946494	-	1
chr5	36984738	36984822	+	1
chr5	55941140	55941165	-	1
chr5	177524560	177524590	-	1
chr6	37171219	37171250	+	2
chr6	43505546	43505624	+	2
chr6	44250329	44250414	+	2
chr6	170318511	170318548	+	2
chr8	143925665	143925729	-	2
chr9	128179018	128179103	-	3
chr9	136863341	136863363	-	1
chrX	154361457	154361506	-	1
chr1	10629756	10629805	+	1
chr1	43386023	43386054	-	1
chr1	156670352	156670464	-	1
chr1	182887270	182887340	+	1
chr1	234607469	234607563	-	1
chr11	43943099	43943136	+	1
chr11	62521606	62522759	-	1
chr11	62522899	62524862	-	2
chr11	62525112	62525191	-	2
chr11	62526264	62526649	-	2
chr11	62528019	62528698	-	1
chr11	62528760	62528789	-	1
chr12	108623676	108623858	-	1
chr12	121888887	121888947	+	1
chr12	124912278	124912376	-	1
chr12	124912734	124912865	-	1
chr13	110162379	110162416	-	1
chr14	104940114	104940207	-	1
chr14	104945625	104946121	-	1
chr14	104946965	104947461	-	1
chr15	48878236	48878273	+	1
chr16	2108692	2108780	-	2
chr16	3728882	3728912	-	1
chr16	30381388	30381412	-	1
chr17	4539481	4539622	-	1
chr17	35844602	35844750	+	2
chr17	41769558	41769580	-	1
chr17	43022250	43022296	-	5
chr17	50368212	50368299	-	1
chr17	64188295	64188344	-	1
chr19	42290884	42291271	+	2
chr19	49154198	49154415	-	1
chr2	33584921	33584958	-	1
chr2	39022840	39022934	-	1
chr2	69465777	69465895	-	1
chr2	85327302	85327471	-	3
chr2	218643533	218643594	-	1
chr20	17659154	17659193	-	1
chr21	46112130	46112176	+	1
chr22	17207143	17207241	-	1
chr22	36294175	36294227	-	1
chr3	49375448	49375494	-	1
chr3	51993790	51993879	-	2
chr3	51993856	51993893	-	1
chr3	183650401	183650490	+	1
chr3	195781513	195785018	-	1
chr3	195784057	195784154	-	1
chr4	148435191	148435270	-	1
chr5	61160120	61160157	-	1
chr6	32841603	32841633	-	1
chr6	33305061	33305223	-	1
chr7	5356972	5357070	-	1
chr7	142529537	142529623	+	1
chr7	143382932	143383238	+	1
chr8	38846738	38846776	+	1
chr9	35685517	35685542	-	1
chr9	122858932	122859039	-	1
chr9	123381554	123381604	-	1
chrX	153954500	153955100	-	1
chrX	154349501	154349529	-	1
chrX	154352249	154352311	-	1
chrX	154358312	154358340	-	1
chrX	154361388	154361428	-	1
chr1	43592555	43592583	+	1
chr1	151047850	151047921	+	1
chr1	155015326	155015630	+	1
chr1	156670853	156670945	-	1
chr1	161958498	161958630	+	1
chr11	62522481	62522572	-	1
chr11	62528539	62528588	-	1
chr11	118899100	118899214	-	1
chr11	130261029	130261256	-	1
chr12	52519965	52520002	-	1
chr12	53213562	53213681	-	1
chr12	108623647	108623708	-	1
chr14	21093055	21093165	-	2
chr14	75280957	75280993	+	1
chr14	100239550	100239578	+	1
chr14	104944635	104949091	-	1
chr15	75349016	75349164	+	1
chr15	89806241	89806326	-	1
chr15	90957634	90957662	+	1
chr16	1220067	1220175	+	1
chr16	4884413	4884585	-	1
chr16	28844032	28844064	-	1
chr16	74391885	74391928	+	1
chr17	5022358	5022398	+	1
chr17	32940837	32940947	+	2
chr18	75063895	75064034	+	1
chr19	2807584	2807678	+	1
chr19	35732329	35732416	+	1
chr19	41320366	41320388	+	2
chr19	50860002	50860058	+	1
chr19	52613256	52613341	-	1
chr19	55483677	55483777	+	1
chr19	56622202	56622287	+	1
chr19	58456121	58456206	+	1
chr2	89221800	89221927	-	2
chr2	226796709	226796885	-	1
chr20	62881146	62881270	-	1
chr22	17818853	17818917	-	1
chr3	47410719	47410760	+	1
chr3	195778921	195779402	-	2
chr3	195779209	195779498	-	2
chr3	195779497	195779594	-	2
chr3	195779497	195788522	-	1
chr3	195780025	195780122	-	5
chr3	195780457	195781130	-	3
chr3	195781321	195781658	-	1
chr3	195782329	195783338	-	1
chr3	195783337	195784058	-	1
chr3	195783481	195784922	-	1
chr3	195785017	195788378	-	2
chr3	195785881	195786698	-	3
chr3	195787513	195788042	-	2
chr3	195788185	195788234	-	1
chr3	195788233	195788330	-	1
chr4	80202072	80202420	+	1
chr5	71510251	71510579	+	2
chr6	24596240	24596437	-	1
chr6	31900623	31900652	-	1
chr6	116253105	116253179	-	1
chr7	5313795	5313823	-	1
chr7	5370921	5371002	-	1
chr7	6149710	6149951	+	1
chr8	143580146	143580189	-	2
chr8	143921850	143921904	-	1
chr9	18892518	18892546	+	1
chr9	88468424	88468449	+	1
chr9	93185481	93185518	+	1
chrX	46853822	46853918	+	1
chr1	26345016	26345170	-	3
chr1	58782401	58782650	-	1
chr1	153003272	153003297	+	3
chr1	153003309	153003358	+	2
chr11	62525616	62526308	-	1
chr11	114064020	114064051	+	1
chr14	103130050	103130079	+	1
chr16	74391827	74391870	+	2
chr16	77194789	77194935	+	1
chr17	44189077	44189108	+	1
chr17	61982386	61982909	-	1
chr17	81252242	81252316	-	3
chr19	622841	622899	-	1
chr19	5231424	5231557	-	2
chr19	24127240	24127577	+	1
chr19	39539758	39540002	-	1
chr19	39883347	39883381	-	1
chr19	42078696	42079576	+	1
chr19	44066456	44066763	+	1
chr2	85327260	85327385	-	1
chr2	233523295	233523391	-	1
chr20	17659634	17659845	-	3
chr20	34757352	34757653	-	1
chr3	195778873	195779690	-	1
chr3	195779497	195779546	-	1
chr3	195779545	195779978	-	1
chr3	195779545	195781610	-	1
chr3	195779689	195782954	-	1
chr3	195779929	195780314	-	1
chr3	195780649	195780746	-	1
chr3	195780937	195781562	-	1
chr3	195783385	195784922	-	2
chr3	195784105	195784202	-	2
chr3	195784393	195784634	-	1
chr3	195784873	195784970	-	1
chr3	195784921	195784970	-	1
chr3	195785353	195786074	-	1
chr3	195786121	195786410	-	1
chr3	195786164	195786261	-	1
chr3	195787081	195787514	-	1
chr3	195787177	195787658	-	1
chr3	195787225	195787514	-	1
chr3	195787321	195787610	-	1
chr3	195787513	195788090	-	1
chr4	145902524	145902679	-	1
chr5	172768871	172768994	-	1
chr6	1312768	1313000	+	1
chr6	30602382	30602431	-	4
chr6	30704183	30705628	-	1
chr7	16600783	16600890	-	1
chr7	122012972	122013155	+	1
chrX	103586885	103586919	+	2
chr1	182887180	182887349	+	1
chr10	73792196	73792656	+	1
chr10	102159243	102159288	+	1
chr11	1016498	1016642	-	2
chr11	1016634	1016857	-	1
chr11	1017177	1017472	-	1
chr11	17387297	17387435	-	3
chr11	65779214	65779340	-	1
chr12	124012762	124012847	+	1
chr16	83111	83179	+	4
chr17	35844914	35845011	+	1
chr17	38850394	38850423	-	2
chr17	58495075	58495780	-	1
chr18	8069723	8069789	+	1
chr19	5693665	5693687	-	1
chr19	14054078	14054112	-	1
chr19	14054278	14054411	-	1
chr19	40451415	40451467	-	1
chr19	49653056	49653105	+	1
chr19	52115495	52115664	-	1
chr2	54646292	54646419	+	1
chr20	17658920	17659005	-	1
chr20	45207835	45207902	+	1
chr20	45208207	45208233	+	3
chr20	45208297	45208465	+	1
chr20	45222126	45222387	+	1
chr20	45222182	45222902	+	2
chr20	45222619	45222693	+	1
chr20	45222619	45222735	+	3
chr20	45222799	45222839	+	1
chr20	45222799	45222880	+	2
chr20	45222825	45222915	+	1
chr20	45222866	45222980	+	1
chr21	33551289	33552560	+	2
chr22	29299646	29299689	+	2
chr22	38214650	38214672	+	1
chr3	51959915	51960009	-	1
chr4	15688735	15688838	+	1
chr5	170378886	170378914	-	1
chr6	33296123	33296218	-	1
chr6	170318547	170318584	+	2
chr7	73444019	73444075	-	1
chr7	149070915	149071168	-	1
chr8	27658611	27658645	+	1
chrX	49164908	49165002	+	1
chrX	100833325	100833356	+	1
chr1	42830868	42831019	+	1
chr11	3827709	3827737	-	1
chr11	57309389	57309516	-	2
chr11	62521648	62522375	-	2
chr11	72012913	72012935	-	1
chr11	72013179	72013213	-	1
chr11	75587582	75587715	-	1
chr11	114407580	114407693	+	1
chr12	6329434	6329486	-	1
chr12	124913234	124913463	-	3
chr16	51646439	51646476	+	1
chr17	4672949	4672986	-	1
chr17	35844545	35844729	+	1
chr17	82091417	82091500	-	1
chr19	2834662	2834747	+	1
chr19	39474649	39474699	+	1
chr19	52115831	52115916	-	1
chr2	127719719	127719747	-	1
chr20	17659754	17659845	-	2
chr20	18316319	18316404	+	1
chr20	63966281	63966444	-	1
chr22	29490016	29490125	+	1
chr3	168029853	168029953	-	1
chr3	195780505	195780602	-	1
chr3	195780889	195782186	-	1
chr3	195781609	195783290	-	2
chr3	195784201	195784250	-	1
chr4	56931024	56931121	+	1
chr5	66170697	66170806	+	1
chr5	132824059	132824267	-	1
chr6	30602196	30602335	-	1
chr6	33203637	33203677	+	2
chr7	44106670	44106770	+	6
chr8	1957191	1957214	+	1
chr8	144522642	144522996	-	3
chr1	23310637	23310735	-	1
chr1	43272912	43273286	+	3
chr1	153775201	153775424	+	1
chr1	155766503	155766653	-	1
chr1	182887171	182887199	+	3
chr1	201900475	201900589	-	1
chr10	122210737	122210818	+	1
chr10	133293615	133293694	-	1
chr11	62520606	62521009	-	1
chr11	62528034	62528588	-	1
chr11	62530633	62530934	-	1
chr11	65554074	65554125	-	1
chr11	65557743	65557771	-	1
chr11	65583063	65583199	+	1
chr11	65856026	65856207	-	3
chr11	85664298	85664322	-	1
chr14	74493220	74493242	-	1
chr14	92651870	92652098	+	1
chr14	104941974	104946430	-	3
chr16	28495903	28496171	+	1
chr16	29381506	29381549	-	2
chr19	4446098	4446145	-	1
chr19	7682503	7682539	+	1
chr19	11035021	11035091	+	1
